"Protein.IDs"	"Protein.names"	"Gene.names"	"Reverse"	"Only.identified.by.site"	"Potential.contaminant"	"LFQ.intensity.NCY71"	"LFQ.intensity.NCY59"	"LFQ.intensity.NCY79"	"LFQ.intensity.NCY205"	"LFQ.intensity.NCY70"	"LFQ.intensity.CLM01"	"LFQ.intensity.NCY208"	"LFQ.intensity.NCY219"	"LFQ.intensity.NCY220"	"LFQ.intensity.NCY26"	"LFQ.intensity.NCY226"	"LFQ.intensity.NCY64"	"LFQ.intensity.TRS04"	"LFQ.intensity.NCY200"	"LFQ.intensity.NCY217"	"LFQ.intensity.NCY222"	"LFQ.intensity.NCY201"	"LFQ.intensity.NCY206"	"LFQ.intensity.POI02"	"LFQ.intensity.CLM07"
"prot_1"	"Amet vestibulum cras est ridiculus ligula urna imperdiet eget ullamcorper varius cursus massa!"	"prot_1"	""	""	""	16131000	15994000	4774100	4452600	5792500	0	5056500	0	54085000	0	0	8941000	0	19689000	0	0	0	0	0	0
"prot_2"	"Sit elementum ridiculus proin litora pharetra libero!"	"prot_2"	""	""	""	0	0	0	0	0	3986100	0	0	0	0	0	5943800	0	0	0	0	0	0	0	4083900
"prot_3"	"Sit ante fames imperdiet vel ac iaculis rhoncus dapibus consequat posuere litora aliquet?"	"prot_3"	""	""	""	352600000	439430000	242360000	181690000	110030000	37232000	252700000	246550000	392480000	33895000	97759000	140890000	77718000	116170000	178690000	40771000	2.38e+08	159220000	57102000	71009000
"prot_4"	"Dolor scelerisque rutrum montes pretium velit auctor ante interdum blandit."	"prot_4"	""	""	""	0	0	0	0	0	0	0	0	6746200	0	0	0	0	0	0	0	0	0	0	0
"prot_5"	"Elit massa porta ultricies quisque interdum ad lobortis vulputate ante imperdiet nulla?"	"prot_5"	""	""	""	14366000	0	10402000	14254000	11583000	13303000	14381000	0	13256000	11067000	0	10547000	0	0	0	0	13971000	11910000	0	12584000
"prot_6"	"Sit tincidunt quisque risus ullamcorper."	"prot_6"	""	""	""	9889800	9717500	17965000	7189300	5483700	26726000	12476000	19957000	14308000	25741000	9855500	10614000	10429000	13447000	6917000	54336000	18748000	20214000	63881000	11720000
"prot_7"	"Consectetur nascetur proin in metus porta laoreet quis."	"prot_7"	""	""	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_8"	"Ipsum habitasse suspendisse velit euismod magnis inceptos himenaeos lectus ac pharetra."	"prot_8"	""	""	""	25746000	30302000	16958000	11527000	18118000	8368000	10696000	0	51053000	0	0	16274000	26768000	0	10443000	16121000	8588800	40043000	13619000	23910000
"prot_9"	"Lorem pharetra justo placerat at ligula."	"prot_9"	""	""	""	11873000	0	0	0	11863000	0	11360000	0	0	0	0	0	0	0	0	0	0	16390000	14903000	0
"prot_10"	"Consectetur nulla mauris dui purus aliquet in placerat faucibus neque cubilia?"	"prot_10"	""	""	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_11"	"Adipiscing mollis quis mattis turpis mauris at lacus."	"prot_11"	"+"	"+"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_12"	"Consectetur vivamus gravida cubilia donec arcu himenaeos justo vitae enim turpis vehicula rhoncus."	"prot_12"	""	""	""	0	6194000	14503000	0	9849500	6725300	9547100	12497000	10485000	0	0	5715100	0	0	7450400	0	0	19750000	0	8202500
"prot_13"	"Dolor nullam pulvinar ligula odio id integer nunc gravida volutpat."	"prot_13"	""	""	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"prot_14"	"Sit orci mollis conubia phasellus eu nisl vestibulum ad interdum feugiat facilisi?"	"prot_14"	""	""	""	0	0	0	0	0	0	0	0	0	13950000	0	0	0	0	0	0	0	0	11858000	0
"prot_15"	"Elit habitant magnis lacus platea parturient natoque nascetur fusce."	"prot_15"	""	""	""	18696000	0	6739100	6645300	5313700	0	0	0	8180800	0	0	6092500	0	0	0	9838800	19402000	12914000	13609000	0
"prot_16"	"Dolor porttitor aliquam massa commodo turpis leo justo netus."	"prot_16"	""	""	""	3793400	16831000	0	0	0	0	0	4072500	0	0	0	0	4903800	0	0	3835800	0	0	0	0
"prot_17"	"Ipsum posuere congue blandit viverra sed tempus dignissim facilisi condimentum sodales mi."	"prot_17"	""	""	""	0	0	0	0	0	0	0	0	0	0	0	0	7341600	0	0	0	0	0	0	0
"prot_18"	"Elit tristique maecenas fermentum parturient condimentum nulla eros molestie conubia dapibus."	"prot_18"	""	""	""	0	0	5595700	0	4117100	7413200	3859500	7721200	0	0	4717500	7125500	0	0	0	0	0	0	6692800	5336500
